sentence=1	But	but	but	CC	O	(h<root> / --LEX--  :ARG2 (m<o>))	contrast-01	(o(s()))	0	ROOT	true
39	of	_	of	IN	O	_	include-91	_	0	IGNORE	true
40	bread	_	bread	NN	O	(p<root> / --LEX--  :mod-of (s<mod>))	$LEMMA$	(mod())	35	MOD_mod	true
41	-	_	-	:	O	_	$LEMMA$	_	0	IGNORE	true
42	that	_	that	IN	O	_	$LEMMA$	_	0	IGNORE	true
43	those	_	those	DT	O	(p<root> / --LEX--  :mod-of (s<mod>))	that	(mod())	1	MOD_mod	true
44	people	_	people	NNS	O	_	person	_	0	IGNORE	true
45	don't	_	don't	VBP	O	(explicitanon0<root> / --LEX--  :polarity-of (e<mod>))	-	(mod())	46	MOD_mod	true
46	get	_	get	VB	O	(s<root> / --LEX--  :ARG1 (p<s>))	$LEMMA$-05	(s())	49	APP_op1	true
47	too	_	too	RB	O	(s<root> / --LEX--  :degree-of (t<mod>))	$LEMMA$	(mod())	48	MOD_mod	true
48	much	_	much	JJ	O	(d<root> / --LEX--)	$LEMMA$	()	46	APP_s	true
49	and	_	and	CC	O	(a<root> / --LEX--  :op1 (b<op1>)  :op2 (g<op2>))	$LEMMA$	(op2(), op1())	13	APP_s	true
50	get	_	get	VB	O	_	$LEMMA$-01	_	0	IGNORE	true
51	overdose,"	_	overdose,"	NNP	O	_	cause-01	_	0	IGNORE	true
52	Ms_Bauchtman	_name_	Bauchtman	NNP	O	(p<root> / person  :name (n / --LEX--))	_NAME_	()	53	APP_s	true
53	said	_	say	VBD	O	(s<root> / --LEX--  :ARG0 (y<s>)  :ARG1 (a<o>))	$LEMMA$-01	(s(), o())	1	MOD_o	true
54	.	_	.	.	O	_	multi-sentence	_	0	IGNORE	true

nodealignment=[10@@s@@obligate-01, 52@@p@@person, 24@@p@@all, 28@@d@@boy, 1@@h@@contrast-01, 53@@s@@say-01, 52@@n@@_NAME_, 43@@p@@that, 46@@s@@get-05, 8@@d@@scale, 25@@s@@know-01, 4@@p@@other, 19@@explicitanon0@@lot, 35@@s@@eat-01, 21@@d@@food, 31@@d@@home, 38@@d@@loaf, 30@@g@@come-01, 37@@p@@whole, 47@@s@@too, 27@@p@@teenage, 23@@d@@we, 40@@p@@bread, 49@@a@@and, 13@@c@@ensure-01, 17@@s@@eat-01, 45@@explicitanon0@@-, 15@@d@@person, 5@@w@@end, 33@@s@@school, 48@@d@@much]
sentence=1	Because	because	because	IN	O	(s<root> / --LEX--  :ARG0 (y<s>))	cause-01	(s())	0	ROOT	true
2	I	i	I	PRP	O	(d<root> / --LEX--)	$REPL$	()	3	APP_s	true
3	want	_	want	VBP	O	(s<root> / --LEX--  :ARG0 (y<s>)  :ARG1 (a<o>))	$LEMMA$-01	(s(), o())	1	APP_s	true
4	someone	_	someone	NN	O	(d<root> / --LEX--)	$LEMMA$	()	8	APP_s	true
5	who's	_	who'	NNS	O	_	person	_	0	IGNORE	true
6	going	_	go	VBG	O	_	accompany-01	_	0	IGNORE	true
7	to	_	to	TO	O	_	thing	_	0	IGNORE	true
8	treat	_	treat	VB	O	(s<root> / --LEX--  :ARG0 (y<s>)  :ARG1 (a<o>))	$LEMMA$-01	(s(), o())	3	APP_o	true
9	people	_	people	NNS	O	(d<root> / --LEX--)	person	()	8	APP_o	true
10	nicely	_	nicely	RB	O	(s<root> / --LEX--  :ARG1 (p<s>))	nice-01	(s())	11	APP_op1	true
11	and	_	and	CC	O	(a<root> / --LEX--  :op1 (c<op1>)  :op2 (l<op2>))	$LEMMA$	(op2(s()), op1(s()))	8	MOD_s	true
12	well	_	well	RB	O	(s<root> / --LEX--  :ARG1 (p<s>))	$LEMMA$-09	(s())	11	APP_op2	true
13	.	_	.	.	O	_	multi-sentence	_	0	IGNORE	true

nodealignment=[1@@s@@cause-01, 8@@s@@treat-01, 10@@s@@nice-01, 11@@a@@and, 12@@s@@well-09, 4@@d@@someone, 3@@s@@want-01, 9@@d@@person, 2@@d@@i]
sentence=1	And	and	and	CC	O	(a<root> / --LEX--  :op2 (f<op2>))	$LEMMA$	(op2())	0	ROOT	true
2	as	_	as	IN	O	_	cause-01	_	0	IGNORE	true
3	I	i	I	PRP	O	(d<root> / --LEX--)	$REPL$	()	11	APP_s	true
4	walked	_	walk	VBD	O	(p<root> / --LEX--  :ARG2 (g<o>)  :ARG0 (g2<s>)  :time-of (r<mod>))	$LEMMA$-01	(mod(), s(), o())	11	MOD_mod	true
5	by	_	by	IN	O	_	$LEMMA$	_	0	IGNORE	true
6	the	_	the	DT	O	_	he	_	0	IGNORE	true
7	shallow	_	shallow	JJ	O	(p<root> / --LEX--  :mod-of (s<mod>))	$LEMMA$	(mod())	9	MOD_mod	true
8	crystal	_	crystal	NN	O	(p<root> / --LEX--  :mod-of (s<mod>))	$LEMMA$	(mod())	9	MOD_mod	true
9	stream	_	stream	NN	O	(d<root> / --LEX--)	$LEMMA$	()	4	APP_o	true
10	I	i	I	PRP	O	_	$REPL$	_	0	IGNORE	true
11	saw	_	see	VBD	O	(t<root> / --LEX--  :ARG1 (t2<o>)  :ARG0 (i<s>)  :time-of (f<mod>))	$LEMMA$-01	(mod(), s(), o())	1	APP_op2	true
12	unwonted	_	unwonted	JJ	O	(explicitanon0<root> / -  :polarity-of (n / --LEX--  :ARG1 (t<s>)))	warrant-01	(s())	13	MOD_s	true
13	ripples	_	ripple	NNS	O	(d<root> / --LEX--)	$LEMMA$	()	11	APP_o	true
14	tipped	_	tip	VBN	O	(s<root> / --LEX--  :ARG1 (w<s>)  :ARG2 (d<o>))	$LEMMA$-01	(s(), o())	13	MOD_s	true
15	with	_	with	IN	O	_	-	_	0	IGNORE	true
16	yellow	_	yellow	JJ	O	(d<root> / --LEX--)	$LEMMA$-02	()	14	APP_o	true
17	light,	_	light,	NNS	O	_	thing	_	0	IGNORE	true
18	as	_	as	IN	O	_	cause-01	_	0	IGNORE	true
19	if	_	if	IN	O	_	cause-01	_	0	IGNORE	true
20	those	_	those	DT	O	(p<root> / --LEX--  :mod-of (s<mod>))	that	(mod())	22	MOD_mod	true
21	placid	_	placid	JJ	O	(p<root> / --LEX--  :mod-of (s<mod>))	$LEMMA$	(mod())	22	MOD_mod	true
22	waters	_	water	NNS	O	(d<root> / --LEX--)	$LEMMA$	()	24	APP_s	true
23	were	_	be	VBD	O	_	person	_	0	IGNORE	true
24	drawn	_	draw	VBN	O	(s<root> / --LEX--  :ARG1 (w<s>)  :ARG2 (d<o>))	$LEMMA$-01	(s(), o())	11	APP_mod	true
25	on	_	on	IN	O	_	$LEMMA$	_	0	IGNORE	true
26	in	_	in	IN	O	_	th$LEMMA$g	_	0	IGNORE	true
27	resistless	_	resistless	JJ	O	(explicitanon0<root> / -  :polarity-of (n / --LEX--  :ARG1 (t<s>)))	$LEMMA$	(s())	28	MOD_s	true
28	currents	_	current	NNS	O	(t<root> / --LEX--  :manner-of (h<mod>))	$LEMMA$	(mod())	24	MOD_mod	true
29	to	_	to	IN	O	_	cause-01	_	0	IGNORE	true
30	strange	_	strange	JJ	O	(p<root> / --LEX--  :mod-of (s<mod>))	$LEMMA$	(mod())	31	MOD_mod	true
31	oceans	_	ocean	NNS	O	(d<root> / --LEX--)	$LEMMA$	()	24	APP_o	true
32	that	_	that	WDT	O	_	resemble-01	_	0	IGNORE	true
33	are	_	be	VBP	O	(s<root> / --LEX--  :ARG1 (p<s>))	$LEMMA$-located-at-91	(s())	1	MOD_s	true
34	not	_	not	RB	O	(explicitanon0<root> / --LEX--  :polarity-of (e<mod>))	-	(mod())	37	MOD_mod	true
35	in	_	in	IN	O	_	i	_	0	IGNORE	true
36	the	_	the	DT	O	_	-	_	0	IGNORE	true
37	world	_	world	NN	O	(b<root> / --LEX--  :location-of (h<mod>))	$LEMMA$	(mod())	31	MOD_mod	true
38	.	_	.	.	O	_	multi-sentence	_	0	IGNORE	true

nodealignment=[20@@p@@that, 33@@s@@be-located-at-91, 8@@p@@crystal, 3@@d@@i, 22@@d@@water, 9@@d@@stream, 13@@d@@ripple, 28@@t@@current, 7@@p@@shallow, 12@@explicitanon0@@-, 37@@b@@world, 34@@explicitanon0@@-, 1@@a@@and, 11@@t@@see-01, 12@@n@@warrant-01, 30@@p@@strange, 21@@p@@placid, 31@@d@@ocean, 27@@n@@resistless, 27@@explicitanon0@@-, 24@@s@@draw-01, 16@@d@@yellow-02, 4@@p@@walk-01, 14@@s@@tip-01]
sentence=1	Once	once	once	IN	O	_	$LEMMA$	_	0	IGNORE	true
2	we	_	we	PRP	O	(d<root> / --LEX--)	$LEMMA$	()	9	APP_s	true
3	figured	_	figure	VBD	O	(t<root> / --LEX--  :ARG1 (t2<o>)  :ARG0 (i<s>)  :time-of (f<mod>))	$LEMMA$-out-05	(mod(), s(), o())	9	MOD_mod	true
4	out	_	out	RP	O	_	thing	_	0	IGNORE	true
5	what	_	what	WP	O	_	thing	_	0	IGNORE	true
6	it	_	it	PRP	O	(d<root> / --LEX--)	$LEMMA$	()	3	APP_o	true
7	was,	_	was,	VBD	O	_	thing	_	0	IGNORE	true
8	we	_	we	PRP	O	_	$LEMMA$	_	0	IGNORE	true
9	played	_	play	VBD	O	(s<root> / --LEX--  :ARG0 (y<s>)  :ARG1 (a<o>))	$LEMMA$-01	(s(), o())	0	ROOT	true
10	a	_	a	DT	O	_	thing	_	0	IGNORE	true
11	lot	_	lot	NN	O	(explicitanon0<root> / --LEX--  :quant-of (b<mod>))	$LEMMA$	(mod())	14	MOD_mod	true
12	of	_	of	IN	O	_	include-91	_	0	IGNORE	true
13	manuscript	_	manuscript	JJ	O	(p<root> / --LEX--  :mod-of (s<mod>))	$LEMMA$	(mod())	14	MOD_mod	true
14	email	_	email	NN	O	(d<root> / --LEX--)	$LEMMA$-01	()	9	APP_o	true
15	tag,	_	tag,	NN	O	_	$LEMMA$	_	0	IGNORE	true
16	which	_	which	WDT	O	_	cause-01	_	0	IGNORE	true
17	can	_	can	MD	O	(s<root> / --LEX--  :ARG1 (p<s>))	possible-01	(s())	19	MOD_s	true
18	be	_	be	VB	O	_	cause-01	_	0	IGNORE	true
19	challenging	_	challenging	JJ	O	(s<root> / --LEX--  :ARG0 (y<s>))	challenge-01	(s())	14	MOD_s	true
20	and	_	and	CC	O	(s<root> / --LEX--  :ARG0 (y<s>)  :ARG1 (a<o>))	$LEMMA$	(s(), o())	9	MOD_s	true
21	time	_	time	NN	O	(d<root> / --LEX--)	$LEMMA$	()	22	APP_o	true
22	consuming	_	consume	VBG	O	(s<root> / --LEX--  :ARG0 (y<s>)  :ARG1 (a<o>))	$LEMMA$-01	(s(), o())	14	MOD_s	true
23	given	_	give	VBN	O	(s<root> / --LEX--  :ARG0 (y<s>)  :ARG1 (a<o>))	$LEMMA$-01	(s(), o())	9	MOD_o	true
24	the	_	the	DT	O	_	cause-01	_	0	IGNORE	true
25	differing	_	differ	VBG	O	(s<root> / --LEX--  :ARG1 (p<s>))	$LEMMA$-01	(s())	26	MOD_s	true
26	schedules	_	schedule	NNS	O	(d<root> / --LEX--)	$LEMMA$-01	()	23	APP_s	true
27	that	_	that	WDT	O	_	$LEMMA$	_	0	IGNORE	true
28	folks	_	folk	NNS	O	(d<root> / --LEX--)	$LEMMA$	()	29	APP_s	true
29	keep	_	keep	VBP	O	(s<root> / --LEX--  :ARG0 (y<s>)  :ARG1 (a<o>))	$LEMMA$-01	(s(), o())	26	MOD_o	true
30	in	_	in	IN	O	_	i	_	0	IGNORE	true
31	terms	_	term	NNS	O	_	$LEMMA$	_	0	IGNORE	true
32	of	_	of	IN	O	_	include-91	_	0	IGNORE	true
33	travel,	_	travel,	NNS	O	(p<root> / --LEX--  :mod-of (s<mod>))	mean-01	(mod())	9	MOD_mod	true
34	field	_	field	NN	O	(p<root> / --LEX--  :mod-of (s<mod>))	$LEMMA$	(mod())	33	MOD_mod	true
35	work,	_	work,	CD	O	_	and	_	0	IGNORE	true
36	etc	_	etc	FW	O	(p<root> / --LEX--  :mod-of (s<mod>))	et-cetera	(mod())	29	MOD_mod	true
37	.	_	.	.	O	_	multi-sentence	_	0	IGNORE	true

nodealignment=[11@@explicitanon0@@lot, 21@@d@@time, 14@@d@@email-01, 36@@p@@et-cetera, 13@@p@@manuscript, 9@@s@@play-01, 23@@s@@give-01, 25@@s@@differ-01, 17@@s@@possible-01, 22@@s@@consume-01, 6@@d@@it, 2@@d@@we, 3@@t@@figure-out-05, 29@@s@@keep-01, 34@@p@@field, 28@@d@@folk, 20@@s@@and, 26@@d@@schedule-01, 19@@s@@challenge-01, 33@@p@@mean-01]
sentence=1	It	it	It	PRP	O	(d<root> / --LEX--)	$LEMMA$	()	2	APP_s	true
2	suggested	_	suggest	VBD	O	(s<root> / --LEX--  :ARG0 (y<s>)  :ARG1 (a<o>))	$LEMMA$-01	(s(), o())	0	ROOT	true
3	a	_	a	DT	O	_	1	_	0	IGNORE	true
4	talent	_	talent	NN	O	(d<root> / --LEX--)	$LEMMA$	()	2	APP_o	true
5	for	_	for	IN	O	_	1	_	0	IGNORE	true
6	daily	_name_	daily	JJ	O	(t<root> / temporal-quantity  :unit (d / --LEX--)  :ARG3-of (r / rate-entity-91  :frequency-of (p<mod>)))	day	(mod())	7	MOD_mod	true
7	organization	_	organization	NN	O	(o<root> / --LEX--  :purpose-of (a2<mod>))	organize-01	(mod())	4	MOD_mod	true
8	that	_	that	WDT	O	_	$LEMMA$	_	0	IGNORE	true
9	filled	_	fill	VBD	O	(b<root> / --LEX--  :ARG1 (i<o>)  :ARG2 (h<o2>)  :ARG0 (a<s>))	$LEMMA$-01	(o2(), s(), o())	4	MOD_s	true
10	Carroll's	_name_	carroll's	PRP$	O	_	_NAME_	_	0	IGNORE	true
11	heart	_	heart	NN	O	(d<root> / --LEX--)	$LEMMA$	()	9	APP_o	true
12	with	_	with	IN	O	_	-	_	0	IGNORE	true
13	admiration	_	admiration	NN	O	(d<root> / --LEX--)	$LEMMA$-01	()	14	APP_op1	true
14	and	_	and	CC	O	(a<root> / --LEX--  :op1 (b<op1>)  :op2 (g<op2>))	$LEMMA$	(op2(), op1())	9	APP_o2	true
15	lust	_	lust	NN	O	(d<root> / --LEX--)	$LEMMA$-01	()	14	APP_op2	true
16	.	_	.	.	O	_	thing	_	0	IGNORE	true

nodealignment=[13@@d@@admiration-01, 9@@b@@fill-01, 2@@s@@suggest-01, 4@@d@@talent, 6@@t@@temporal-quantity, 7@@o@@organize-01, 6@@d@@day, 1@@d@@It, 14@@a@@and, 6@@r@@rate-entity-91, 11@@d@@heart, 15@@d@@lust-01]
sentence=1	Can	can	Can	MD	O	(s<root> / --LEX--  :ARG1 (p<s>))	possible-01	(s())	0	ROOT	true
2	you	_	you	PRP	O	(d<root> / --LEX--)	$LEMMA$	()	3	APP_s	true
3	recite	_	recite	VB	O	(s<root> / --LEX--  :ARG0 (y<s>)  :ARG1 (a<o>))	$LEMMA$-01	(s(), o())	1	APP_s	true
4	a	_	a	DT	O	_	thing	_	0	IGNORE	true
5	stanza	_	stanza	NN	O	(d<root> / --LEX--)	$LEMMA$	()	3	APP_o	true
6	that	_	that	WDT	O	_	interrogative	_	0	IGNORE	true
7	expresses	_	express	VBZ	O	(s<root> / --LEX--  :ARG0 (y<s>)  :ARG1 (a<o>))	$LEMMA$-01	(s(), o())	5	MOD_s	true
8	how	_	how	WRB	O	_	amr-unknown	_	0	IGNORE	true
9	you	_	you	PRP	O	_	thing	_	0	IGNORE	true
10	feel	_	feel	VBP	O	(t<root> / thing  :ARG1-of (d / --LEX--))	$LEMMA$-01	()	7	APP_o	true
11	right	_	right	RB	O	(p<root> / --LEX--  :mod-of (s<mod>))	$LEMMA$	(mod())	12	MOD_mod	true
12	now	_	now	RB	O	(n<root> / --LEX--  :time-of (p<mod>))	$LEMMA$	(mod())	10	MOD_mod	true
13	?	_	?	.	O	(explicitanon0<root> / --LEX--  :mode-of (c<mod>))	interrogative	(mod())	1	MOD_mod	true

nodealignment=[3@@s@@recite-01, 12@@n@@now, 13@@explicitanon0@@interrogative, 2@@d@@you, 1@@s@@possible-01, 11@@p@@right, 10@@d@@feel-01, 7@@s@@express-01, 5@@d@@stanza, 10@@t@@thing]
sentence=1	The	the	the	DT	O	(d<root> / --LEX--)	cause-01	()	8	APP_o	true
2	accident,	_	accident,	NNS	O	_	include-91	_	0	IGNORE	true
3	which	_	which	WDT	O	_	event	_	0	IGNORE	true
4	occurred	_	occur	VBD	O	_	event	_	0	IGNORE	true
5	yesterday	_name_	yesterday	NN	O	(n<root> / --LEX--  :time-of (p<mod>))	$LEMMA$	(mod())	1	MOD_mod	true
6	afternoon,	_	afternoon,	NNS	O	_	cause-01	_	0	IGNORE	true
7	was	_	be	VBD	O	_	cause-01	_	0	IGNORE	true
8	caused	_	cause	VBN	O	(s<root> / --LEX--  :ARG0 (y<s>)  :ARG1 (a<o>))	$LEMMA$-01	(s(), o())	0	ROOT	true
9	by	_	by	IN	O	_	cause-01	_	0	IGNORE	true
10	strong	_	strong	JJ	O	(s<root> / --LEX--  :ARG1 (p<s>))	$LEMMA$-02	(s())	11	MOD_s	true
11	winds	_	wind	NNS	O	(d<root> / --LEX--)	$LEMMA$	()	12	APP_op1	true
12	and	_	and	CC	O	(a<root> / --LEX--  :op1 (b<op1>)  :op2 (g<op2>))	$LEMMA$	(op2(), op1())	8	APP_s	true
13	heavy	_	heavy	JJ	O	(p<root> / --LEX--  :mod-of (s<mod>))	$LEMMA$	(mod())	14	MOD_mod	true
14	rain	_	rain	NN	O	(d<root> / --LEX--)	$LEMMA$-01	()	12	APP_op2	true
15	that	_	that	WDT	O	_	$LEMMA$	_	0	IGNORE	true
16	led	_	lead	VBD	O	(t<root> / --LEX--  :ARG0 (y<s>)  :ARG2 (i<o>))	$LEMMA$-03	(s(), o())	14	MOD_s	true
17	the	_	the	DT	O	_	person	_	0	IGNORE	true
18	crane	_	crane	NN	O	(d<root> / --LEX--)	$LEMMA$	()	20	APP_s	true
19	to	_	to	TO	O	_	cause-01	_	0	IGNORE	true
20	fall	_	fall	VB	O	(s<root> / --LEX--  :ARG1 (p<s>))	$LEMMA$-01	(s())	16	APP_o	true
21	.	_	.	.	O	_	$LEMMA$	_	0	IGNORE	true

nodealignment=[18@@d@@crane, 14@@d@@rain-01, 16@@t@@lead-03, 13@@p@@heavy, 12@@a@@and, 20@@s@@fall-01, 10@@s@@strong-02, 11@@d@@wind, 8@@s@@cause-01, 1@@d@@cause-01, 5@@n@@yesterday]
sentence=1	Mof-Ávvi	_name_	Mof-Ávvi	NNP	O	(p<root> / --LEX--  :mod-of (s<mod>))	$LEMMA$	(mod())	4	MOD_mod	true
2	is	_	be	VBZ	O	_	$LEMMA$-located-at-91	_	0	IGNORE	true
3	a	_	a	DT	O	_	me$LEMMA$n-01	_	0	IGNORE	true
4	peninsula	_	peninsula	NN	O	(b<root> / --LEX--  :location-of (h<mod>))	$LEMMA$	(mod())	0	ROOT	true
5	bordered	_	border	VBN	O	(s<root> / --LEX--  :ARG1 (w<s>)  :ARG2 (d<o>))	$LEMMA$-01	(s(), o())	4	MOD_o	true
6	by	_	by	IN	O	_	$LEMMA$	_	0	IGNORE	true
7	the_Casamance_River	_name_	River	NNP	O	(d<root> / --LEX--)	_NAME_	()	5	APP_s	true
8	to	_	to	IN	O	_	$LEMMA$	_	0	IGNORE	true
9	the	_	the	DT	O	_	and	_	0	IGNORE	true
10	north,	_	north,	NNS	O	_	_NAME_	_	0	IGNORE	true
11	which	_	which	WDT	O	_	i	_	0	IGNORE	true
12	separates	_	separate	VBZ	O	(s<root> / --LEX--  :ARG0 (y<s>)  :ARG1 (a<o>))	$LEMMA$-01	(s(), o())	7	MOD_s	true
13	it	_	it	PRP	O	_	$LEMMA$	_	0	IGNORE	true
14	from	_	from	IN	O	_	$LEMMA$	_	0	IGNORE	true
15	the	_	the	DT	O	_	$LEMMA$	_	0	IGNORE	true
16	Jóola_Búluf	_name_	Búluf	NNP	O	(d<root> / --LEX--)	$LEMMA$	()	17	APP_op1	true
17	and	_	and	CC	O	(a<root> / --LEX--  :op1 (b<op1>)  :op2 (g<op2>))	$LEMMA$	(op2(), op1())	12	APP_o	true
18	Jóola_Fogny_areas,	_name_	areas,	NNP	O	(d<root> / --LEX--)	$LEMMA$	()	17	APP_op2	true
19	and	_	and	CC	O	(a<root> / --LEX--  :op2 (f<op2>))	$LEMMA$	(op2())	4	APP_mod	true
20	to	_	to	IN	O	_	$LEMMA$	_	0	IGNORE	true
21	the	_	the	DT	O	_	cause-01	_	0	IGNORE	true
22	east	_	east	NN	O	(h<root> / --LEX--  :part-of (i<poss>))	$LEMMA$	(poss())	19	APP_op2	true
23	by	_	by	IN	O	_	$LEMMA$	_	0	IGNORE	true
24	the	_	the	DT	O	_	relative-position	_	0	IGNORE	true
25	villages	_	village	NNS	O	(d<root> / --LEX--)	$LEMMA$	()	27	APP_op2	true
26	Brin	_name_	Brin	NNP	O	(d<root> / --LEX--)	_NAME_	()	27	APP_op1	true
27	and	_	and	CC	O	(b<root> / --LEX--  :op2 (r<op2>)  :op1 (h<op1>)  :location-of (d<mod>))	$LEMMA$	(op2(), op1(), mod())	22	APP_poss	true
28	Djibonker,	_name_	djibonker,	CD	O	_	_NAME_	_	0	IGNORE	true
29	where	_	where	WRB	O	_	cause-01	_	0	IGNORE	true
30	the	_	the	DT	O	_	person	_	0	IGNORE	true
31	speakers	_	speaker	NNS	O	(s<root> / --LEX--  :ARG0 (y<s>))	write-01	(s())	36	APP_s	true
32	of	_	of	IN	O	_	include-91	_	0	IGNORE	true
33	Kujireray	_name_	Kujireray	NNP	O	(n<root> / --LEX--  :name-of (s<mod>))	_NAME_	(mod())	34	MOD_mod	true
34	and	_	and	CC	O	(d<root> / --LEX--)	$LEMMA$	()	31	APP_s	true
35	Baïnounk_Gubëeher	_name_	Gubëeher	NNP	O	_	_NUMBER_	_	0	IGNORE	true
36	live	_	live	VBP	O	(s<root> / --LEX--  :ARG0 (y<s>))	$LEMMA$-01	(s())	27	APP_mod	true
37	.	_	.	.	O	_	person	_	0	IGNORE	true

nodealignment=[19@@a@@and, 26@@d@@_NAME_, 27@@b@@and, 17@@a@@and, 34@@d@@and, 12@@s@@separate-01, 7@@d@@_NAME_, 31@@s@@write-01, 25@@d@@village, 22@@h@@east, 5@@s@@border-01, 33@@n@@_NAME_, 36@@s@@live-01, 1@@p@@Mof-Ávvi, 16@@d@@Búluf, 4@@b@@peninsula, 18@@d@@areas,]
sentence=1	Example	example	example	NN	O	(s<root> / --LEX--  :ARG1 (p<s>))	exemplify-01	(s())	0	ROOT	true
2	of	_	of	IN	O	_	include-91	_	0	IGNORE	true
3	aerated	_	aerated	JJ	O	(d<root> / --LEX--)	heat-01	()	1	APP_s	true
4	concrete,	_	concrete,	NNP	O	_	$LEMMA$	_	0	IGNORE	true
5	which	_	which	WDT	O	_	it	_	0	IGNORE	true
6	provided	_	provide	VBD	O	(s<root> / --LEX--  :ARG0 (y<s>)  :ARG1 (a<o>))	$LEMMA$-01	(s(), o())	3	MOD_s	true
7	a	_	a	DT	O	_	1	_	0	IGNORE	true
8	home	_	home	NN	O	(d<root> / --LEX--)	$LEMMA$	()	6	APP_o	true
9	for	_	for	IN	O	_	person	_	0	IGNORE	true
10	the	_	the	DT	O	_	person	_	0	IGNORE	true
11	subjects	_	subject	NNS	O	(i<root> / --LEX--  :beneficiary-of (n<mod>))	$LEMMA$	(mod())	8	MOD_mod	true
12	.	_	.	.	O	_	multi-sentence	_	0	IGNORE	true

nodealignment=[6@@s@@provide-01, 3@@d@@heat-01, 8@@d@@home, 11@@i@@subject, 1@@s@@exemplify-01]
sentence=1	In	in	in	IN	O	_	have-concession-91	_	0	IGNORE	true
2	addition,	_	addition,	NNS	O	_	and	_	0	IGNORE	true
3	students	_	student	NNS	O	(p2<root> / person  :ARG0-of (e2 / --LEX--))	study-01	()	8	APP_s	true
